HELP_ID	CODE	UMASK	OTHER	COMMON	WEIGHT	COUNTER	NAME	DESCRIPTION	HELP_FILE	OVERFLOW	SAV_LOWER_LIMIT	PRECISE_EVENT	LATENCY	MSR_INDEX	MSR_VALUE	LBR_VALUE	DEFAULT	UNCORE_QUEUE_RESET	UNCORE	MIN_STEP	EM TRIGGER
0x10021	0x87	0x1	0x53	0x1	0	0,1,2,3	ILD_STALL.LCP	Length Change Prefix stall cycles	pmw_sp.chm	2000000	0	0	0	0	0	0	0	0	0	0	0
0x10021	0x87	0x2	0x53	0x1	0	0,1,2,3	ILD_STALL.MRU	Stall cycles due to BPU MRU bypass	pmw_sp.chm	2000000	0	0	0	0	0	0	0	0	0	0	0
0x10021	0x87	0x8	0x53	0x1	0	0,1,2,3	ILD_STALL.REGEN	Regen stall cycles	pmw_sp.chm	2000000	0	0	0	0	0	0	0	0	0	0	0
0x10022	0x18	0x1	0x53	0x1	0	0,1,2,3	INST_DECODED.DEC0	Instructions that must be decoded by decoder 0	pmw_sp.chm	2000000	0	0	0	0	0	0	0	0	0	0	0
0x10024	0x1E	0x1	0x53	0x1	0	0,1,2,3	INST_QUEUE_WRITE_CYCLES	Cycles instructions are written to the instruction queue	pmw_sp.chm	2000000	0	0	0	0	0	0	0	0	0	0	0
0x10025	0x17	0x1	0x53	0x1	0	0,1,2,3	INST_QUEUE_WRITES	Instructions written to instruction queue.	pmw_sp.chm	2000000	0	0	0	0	0	0	0	0	0	0	0
0x10026	0x0	0x0	0x53	0x400	0	32	INST_RETIRED.ANY	Instructions retired (fixed counter)	pmw_sp.chm	2000000	5	0	0	0	0	0	1	0	0	0	1
0x10027	0xC0	0x1	0x53	0x20	0	0,1,2,3	INST_RETIRED.ANY_P	Instructions retired (Programmable counter and Precise Event)	pmw_sp.chm	2000000	5	1	0	0	0	0	0	0	0	0	0
0x10027	0xC0	0x4	0x53	0x20	0	0,1,2,3	INST_RETIRED.MMX	Retired MMX instructions (Precise Event)	pmw_sp.chm	2000000	5	1	0	0	0	0	0	0	0	0	0
0x10027	0xC0	0x1	0x10D3	0x20	0	0,1,2,3	INST_RETIRED.TOTAL_CYCLES	Total cycles (Precise Event)	pmw_sp.chm	2000000	5	1	0	0	0	0	0	0	0	0	0
0x10027	0xC0	0x2	0x53	0x20	0	0,1,2,3	INST_RETIRED.X87	Retired floating-point operations (Precise Event)	pmw_sp.chm	2000000	5	1	0	0	0	0	0	0	0	0	0
0x10028	0x6C	0x1	0x53	0x200	0	0,1,2,3	IO_TRANSACTIONS	I/O transactions	pmw_sp.chm	2000000	0	0	0	0	0	0	0	0	0	0	0
0x1002A	0xAE	0x1	0x53	0x2000	0	0,1,2,3	ITLB_FLUSH	ITLB flushes	pmw_sp.chm	2000000	0	0	0	0	0	0	0	0	0	0	0
0x1002B	0xC8	0x20	0x53	0x2000	0	0,1,2,3	ITLB_MISS_RETIRED	Retired instructions that missed the ITLB (Precise Event)	pmw_sp.chm	200000	0	1	0	0	0	0	0	0	0	0	0
0x1002C	0x85	0x1	0x53	0x2000	0	0,1,2,3	ITLB_MISSES.ANY	ITLB miss	pmw_sp.chm	200000	0	0	0	0	0	0	0	0	0	0	0
0x1002C	0x85	0x2	0x53	0x2000	0	0,1,2,3	ITLB_MISSES.WALK_COMPLETED	ITLB miss page walks	pmw_sp.chm	200000	0	0	0	0	0	0	0	0	0	0	0
0x1002C	0x85	0x4	0x53	0x2000	0	0,1,2,3	ITLB_MISSES.WALK_CYCLES	ITLB miss page walk cycles	pmw_sp.chm	2000000	0	0	0	0	0	0	0	0	0	0	0
0x1002D	0x51	0x4	0x53	0x40	0	0,1	L1D.M_EVICT	L1D cache lines replaced in M state 	pmw_sp.chm	2000000	0	0	0	0	0	0	0	0	0	0	0
0x1002D	0x51	0x2	0x53	0x40	0	0,1	L1D.M_REPL	L1D cache lines allocated in the M state	pmw_sp.chm	2000000	0	0	0	0	0	0	0	0	0	0	0
0x1002D	0x51	0x8	0x53	0x40	0	0,1	L1D.M_SNOOP_EVICT	L1D snoop eviction of cache lines in M state	pmw_sp.chm	2000000	0	0	0	0	0	0	0	0	0	0	0
0x1002D	0x51	0x1	0x53	0x40	0	0,1	L1D.REPL	L1 data cache lines allocated	pmw_sp.chm	2000000	0	0	0	0	0	0	0	0	0	0	0
0x1002E	0x43	0x1	0x53	0x40	0	0,1	L1D_ALL_REF.ANY	All references to the L1 data cache	pmw_sp.chm	2000000	0	0	0	0	0	0	0	0	0	0	0
0x1002E	0x43	0x2	0x53	0x40	0	0,1	L1D_ALL_REF.CACHEABLE	L1 data cacheable reads and writes	pmw_sp.chm	2000000	0	0	0	0	0	0	0	0	0	0	0
0x1002F	0x40	0x4	0x53	0x40	0	0,1	L1D_CACHE_LD.E_STATE	L1 data cache read in E state	pmw_sp.chm	2000000	0	0	0	0	0	0	0	0	0	0	0
0x1002F	0x40	0x1	0x53	0x40	0	0,1	L1D_CACHE_LD.I_STATE	L1 data cache read in I state (misses)	pmw_sp.chm	2000000	0	0	0	0	0	0	0	0	0	0	0
0x1002F	0x40	0x8	0x53	0x40	0	0,1	L1D_CACHE_LD.M_STATE	L1 data cache read in M state	pmw_sp.chm	2000000	0	0	0	0	0	0	0	0	0	0	0
0x1002F	0x40	0xF	0x53	0x40	0	0,1	L1D_CACHE_LD.MESI	L1 data cache reads	pmw_sp.chm	2000000	0	0	0	0	0	0	0	0	0	0	0
0x1002F	0x40	0x2	0x53	0x40	0	0,1	L1D_CACHE_LD.S_STATE	L1 data cache read in S state	pmw_sp.chm	2000000	0	0	0	0	0	0	0	0	0	0	0
0x10030	0x42	0x4	0x53	0x40	0	0,1	L1D_CACHE_LOCK.E_STATE	L1 data cache load locks in E state	pmw_sp.chm	2000000	0	0	0	0	0	0	0	0	0	0	0
0x10030	0x42	0x1	0x53	0x40	0	0,1	L1D_CACHE_LOCK.HIT	L1 data cache load lock hits	pmw_sp.chm	2000000	0	0	0	0	0	0	0	0	0	0	0
0x10030	0x42	0x8	0x53	0x40	0	0,1	L1D_CACHE_LOCK.M_STATE	L1 data cache load locks in M state	pmw_sp.chm	2000000	0	0	0	0	0	0	0	0	0	0	0
0x10030	0x42	0x2	0x53	0x40	0	0,1	L1D_CACHE_LOCK.S_STATE	L1 data cache load locks in S state	pmw_sp.chm	2000000	0	0	0	0	0	0	0	0	0	0	0
0x10031	0x53	0x1	0x53	0x40	0	0,1	L1D_CACHE_LOCK_FB_HIT	L1D load lock accepted in fill buffer	pmw_sp.chm	2000000	0	0	0	0	0	0	0	0	0	0	0
0x10032	0x52	0x1	0x53	0x40	0	0,1	L1D_CACHE_PREFETCH_LOCK_FB_HIT	L1D prefetch load lock accepted in fill buffer	pmw_sp.chm	2000000	0	0	0	0	0	0	0	0	0	0	0
0x10033	0x41	0x4	0x53	0x40	0	0,1	L1D_CACHE_ST.E_STATE	L1 data cache stores in E state	pmw_sp.chm	2000000	0	0	0	0	0	0	0	0	0	0	0
0x10033	0x41	0x8	0x53	0x40	0	0,1	L1D_CACHE_ST.M_STATE	L1 data cache stores in M state	pmw_sp.chm	2000000	0	0	0	0	0	0	0	0	0	0	0
0x10033	0x41	0x2	0x53	0x40	0	0,1	L1D_CACHE_ST.S_STATE	L1 data cache stores in S state	pmw_sp.chm	2000000	0	0	0	0	0	0	0	0	0	0	0
